G	ifd_prop	time_to_IFD	sd_intake	
6010	0.9983	9.69263	0.00306902	
6020	0.9979	9.85234	0.00303878	
6030	0.9976	9.9733	0.00297887	
6040	0.9978	10.0031	0.0030443	
6050	0.9981	9.75406	0.00306818	
6060	0.9991	9.56186	0.00305873	
6070	0.9985	9.78285	0.00290097	
6080	0.9974	10.0017	0.00314442	
6090	0.9982	9.93357	0.00311136	
6100	0.9988	9.5227	0.00293235	
6110	0.9983	9.51197	0.00272417	
6120	0.9984	9.10241	0.00306739	
6130	0.9988	9.7818	0.00295929	
6140	0.9986	9.53302	0.00320943	
6150	0.9979	9.76245	0.00311239	
6160	0.9983	9.20328	0.00295114	
6170	0.9979	10.004	0.00303247	
6180	0.9982	8.91294	0.00290672	
6190	0.9986	9.60186	0.00296808	
6200	0.9983	9.59256	0.00288565	
6210	0.998	9.94478	0.00293593	
6220	0.9978	9.99314	0.0027705	
6230	0.9982	9.65504	0.00323267	
6240	0.9976	9.67168	0.00304809	
6250	0.9984	9.80464	0.00301148	
6260	0.9979	9.47236	0.00288692	
6270	0.9981	9.55276	0.00309196	
6280	0.9981	9.80187	0.00311157	
6290	0.9971	9.8923	0.00308595	
6300	0.998	9.33187	0.00286765	
6310	0.9975	9.70318	0.00306983	
6320	0.9976	9.67302	0.00307429	
6330	0.998	9.91255	0.00283789	
6340	0.9983	9.55245	0.00290058	
6350	0.9973	9.94325	0.00305081	
6360	0.997	9.78274	0.00294889	
6370	0.9975	9.64344	0.00299809	
6380	0.9979	9.57325	0.00312616	
6390	0.9983	9.74297	0.003099	
6400	0.9972	9.9819	0.00309099	
6410	0.9984	9.79177	0.00310862	
6420	0.9981	9.72404	0.00284868	
6430	0.9975	9.7926	0.00317737	
6440	0.9982	9.55274	0.00279594	
6450	0.9962	10.0022	0.00342405	
6460	0.9981	9.76418	0.00311041	
6470	0.997	9.80322	0.00317234	
6480	0.9961	9.9135	0.0033108	
6490	0.9972	9.93223	0.00303315	
6500	0.9976	9.79505	0.00309831	
6510	0.9966	9.90329	0.00324596	
6520	0.9975	9.6442	0.00303809	
6530	0.9972	9.86529	0.00311362	
