G	ifd_prop	time_to_IFD	sd_intake	
2460	0.9987	9.67231	0.00300107	
2470	0.9994	9.06223	0.00303329	
2480	0.9992	9.46381	0.00271104	
2490	0.9989	9.08178	0.00282202	
2500	0.9994	9.27291	0.00289231	
2510	0.9994	8.99122	0.0027469	
2520	0.9995	9.13248	0.00292218	
2530	0.9993	9.49202	0.0029883	
2540	0.9987	9.4136	0.00295267	
2550	0.9996	8.58315	0.00297425	
2560	0.9994	8.87125	0.00289516	
2570	0.9991	9.4218	0.00280794	
2580	0.999	9.41294	0.00278436	
2590	0.9989	9.88246	0.0027737	
2600	0.9995	8.432	0.00290011	
2610	0.9984	9.75237	0.00293538	
2620	0.9987	9.03272	0.00284237	
2630	0.9991	9.01132	0.00275903	
2640	0.999	9.00214	0.00288546	
2650	0.9991	8.52277	0.00293934	
2660	0.9987	9.41273	0.00323513	
2670	0.9982	9.29438	0.002824	
2680	0.9991	8.85232	0.0029306	
2690	0.9992	9.222	0.00297329	
2700	0.9987	9.17196	0.00284799	
2710	0.999	9.06296	0.00292296	
2720	0.999	9.39207	0.00314723	
2730	0.9994	8.89168	0.002703	
2740	0.9984	9.82148	0.00275231	
2750	0.9993	9.43265	0.00286465	
2760	0.9987	9.37155	0.00278024	
2770	0.9977	9.77337	0.00312924	
2780	0.9988	9.09193	0.00297839	
2790	0.999	9.6531	0.00286312	
2800	0.9987	9.0432	0.00307189	
2810	0.9984	9.40106	0.00288192	
2820	0.9984	9.66208	0.00268982	
2830	0.999	9.92139	0.00290227	
2840	0.9987	9.32302	0.00284888	
2850	0.9981	9.99176	0.00308499	
2860	0.9991	9.20258	0.00290393	
2870	0.9993	9.45239	0.00292754	
2880	0.9992	9.34208	0.00281869	
2890	0.9986	9.2136	0.00267312	
2900	0.9989	9.71227	0.00296711	
2910	0.9988	8.65132	0.00274163	
2920	0.9984	9.55277	0.00317319	
2930	0.9988	9.76255	0.003017	
2940	0.9991	9.34359	0.00312076	
2950	0.9987	9.74197	0.00287497	
2960	0.9987	9.94297	0.00307516	
2970	0.9981	10.0019	0.00329717	
2980	0.9983	9.78283	0.0032921	
2990	0.9989	9.73165	0.00295835	
3000	0.9983	9.74312	0.00311164	
3010	0.9985	9.80156	0.00314842	
3020	0.9987	9.63269	0.00327868	
3030	0.9984	9.66185	0.00288341	
3040	0.9986	9.79233	0.0030839	
3050	0.9981	9.78254	0.00309858	
3060	0.9985	9.78293	0.00310134	
3070	0.9988	9.3716	0.00301797	
3080	0.9983	9.47346	0.00293848	
3090	0.9988	9.51386	0.00294879	
3100	0.9992	9.27152	0.00278834	
3110	0.9986	9.77114	0.00283195	
3120	0.9981	9.80296	0.00312513	
3130	0.9986	9.70376	0.00300645	
3140	0.9985	9.74239	0.00292474	
3150	0.9978	9.74206	0.00315444	
3160	0.9974	9.57203	0.0030766	
3170	0.9981	9.91178	0.00323363	
3180	0.9974	9.77198	0.00315898	
3190	0.999	9.46219	0.00301033	
3200	0.9985	9.90368	0.00310983	
3210	0.9991	9.04278	0.00293084	
3220	0.9984	9.7828	0.00304913	
3230	0.9987	9.59234	0.00302081	
3240	0.9984	9.59232	0.00281874	
3250	0.9981	9.29177	0.00293603	
3260	0.9995	9.34194	0.00293276	
3270	0.9979	9.63382	0.00299154	
3280	0.9992	8.94114	0.00279929	
3290	0.9988	9.73193	0.00287268	
3300	0.9994	8.97255	0.0026851	
3310	0.9981	10.0016	0.00307904	
3320	0.9997	9.3222	0.00263018	
3330	0.9976	9.7435	0.00297914	
3340	0.9993	9.66319	0.0030047	
3350	0.9977	9.71311	0.00332914	
3360	0.9992	9.70414	0.0030557	
3370	0.9989	9.57313	0.00314922	
3380	0.9988	9.62208	0.00284435	
3390	0.9991	9.26211	0.00310785	
3400	0.9987	9.44281	0.00314509	
3410	0.9987	9.79264	0.00299296	
3420	0.9987	9.62143	0.00297649	
3430	0.9978	9.53203	0.0030766	
3440	0.9988	9.01448	0.00294896	
3450	0.9985	9.57244	0.00292818	
3460	0.998	10.0021	0.00297202	
3470	0.9982	9.62252	0.00295466	
3480	0.9986	9.22529	0.00284423	
3490	0.998	9.68236	0.00301447	
3500	0.9988	9.46334	0.00283768	
3510	0.999	9.22356	0.00287943	
3520	0.9983	9.51171	0.00282493	
3530	0.9985	9.66356	0.00321395	
3540	0.9988	9.33352	0.0026543	
3550	0.9991	9.65274	0.00272	
3560	0.9987	9.93399	0.00298674	
3570	0.9985	9.82303	0.00300325	
3580	0.9993	8.90192	0.00291878	
3590	0.9988	9.56184	0.00307417	
3600	0.9994	8.9218	0.00298739	
3610	0.9988	9.58251	0.00283453	
3620	0.9983	9.95199	0.0029962	
3630	0.9986	10.0019	0.00287958	
3640	0.9984	9.69181	0.00329157	
3650	0.9988	9.40349	0.00310928	
3660	0.9978	9.57178	0.00301656	
3670	0.999	9.43308	0.00289157	
3680	0.9992	9.14125	0.00303801	
3690	0.9979	9.90283	0.00300932	
3700	0.9978	9.97183	0.00298805	
3710	0.9987	9.05325	0.00292024	
3720	0.9991	9.45311	0.00307366	
3730	0.9992	9.2124	0.00279778	
3740	0.9981	9.77217	0.00292654	
3750	0.9987	9.08179	0.00300324	
3760	0.9983	9.43296	0.00304949	
3770	0.9983	9.12181	0.00317377	
3780	0.9994	9.33289	0.00309211	
3790	0.9987	9.28309	0.00307372	
3800	0.9986	9.33237	0.0030004	
3810	0.9983	9.68248	0.00306308	
3820	0.9989	9.65312	0.00305967	
3830	0.9986	9.41314	0.00294998	
3840	0.9992	9.00231	0.00301112	
3850	0.9987	9.60341	0.00295778	
3860	0.9985	9.77222	0.00309167	
3870	0.9986	9.50315	0.00291445	
3880	0.9987	9.66232	0.0031042	
3890	0.9988	9.46218	0.00289903	
3900	0.9978	9.42334	0.00307885	
3910	0.9994	9.46388	0.00289125	
3920	0.9989	8.94221	0.00295865	
3930	0.9987	9.96099	0.00291319	
3940	0.9989	9.44359	0.00271684	
3950	0.9979	9.32177	0.00317637	
3960	0.999	9.55302	0.00293106	
3970	0.9984	9.66174	0.00294736	
3980	0.9988	9.6527	0.00286417	
3990	0.999	9.70203	0.00296861	
4000	0.9989	9.72197	0.00284606	
4010	0.9991	8.91221	0.00281657	
4020	0.9995	9.20275	0.00266517	
4030	0.9985	8.99368	0.00310293	
4040	0.9986	9.99286	0.00304645	
4050	0.9976	9.89216	0.00309768	
4060	0.9982	9.00218	0.00282976	
4070	0.9989	9.63323	0.00294195	
4080	0.9994	9.3727	0.0028109	
4090	0.9987	9.86226	0.00283146	
4100	0.9973	9.8634	0.00308734	
4110	0.9979	9.73319	0.00296894	
4120	0.9983	9.25294	0.00284476	
4130	0.9985	9.71148	0.00294079	
4140	0.9994	9.85151	0.00294063	
4150	0.9991	9.37364	0.00281877	
4160	0.9988	9.93334	0.00288315	
4170	0.9989	9.25267	0.00294264	
4180	0.9991	8.99182	0.0029928	
4190	0.998	9.632	0.00312125	
4200	0.9991	8.66225	0.00300116	
4210	0.9986	8.85238	0.00266132	
4220	0.9989	9.42248	0.00288824	
4230	0.9988	9.32149	0.00269669	
4240	0.9984	9.68238	0.00286348	
4250	0.9984	9.82189	0.00311104	
4260	0.9993	8.82229	0.00292105	
4270	0.9988	9.59287	0.00306516	
4280	0.9983	9.88228	0.00284598	
4290	0.9988	9.17211	0.00304164	
